episode,num_agents,total_reward,avg_reward_per_agent,steps
0,5,-166.0000000000053,-33.200000000001054,2500
1,5,-71.50000000000097,-14.300000000000193,2500
2,5,-44.00000000000179,-8.800000000000358,2500
3,5,-102.50000000000122,-20.500000000000245,2500
4,5,-68.00000000000207,-13.600000000000415,2500
5,5,-66.00000000000134,-13.200000000000268,2500
6,5,-101.00000000000136,-20.200000000000273,2500
7,5,-88.00000000000121,-17.600000000000243,2500
8,5,-79.50000000000026,-15.900000000000052,2500
9,5,-81.50000000000361,-16.300000000000722,2500
