episode,policy_type,steps,num_agents,net_total_reward,mean_agent_reward,total_wall_collisions,total_agent_collisions,mean_wall_collisions_per_agent,mean_agent_collisions_per_agent,total_food_touched,total_food_deposited,mean_food_touched_per_agent,mean_food_deposited_per_agent,efficiency_score
0,human,2000,1,57.000835,57.000835,6,0,6,0,6,5,6,5,0.028500417
1,human,2000,1,68.00151,68.00151,4,0,4,0,6,6,6,6,0.034000754
2,human,2000,1,87.99931,87.99931,4,0,4,0,8,7,8,7,0.043999657
3,human,2000,1,72.50186,72.50186,5,0,5,0,7,6,7,6,0.03625093
4,human,2000,1,57.501534,57.501534,5,0,5,0,6,5,6,5,0.028750766
0,ai,2000,1,35.999855,35.999998688697815,8,0.0,8.0,0.0,4,4,4.0,4.0,0.017999928
1,ai,2000,1,40.000298,39.99999847821891,10,0.0,10.0,0.0,5,4,5.0,4.0,0.020000149
2,ai,2000,1,41.00104,40.99999845959246,8,0.0,8.0,0.0,5,4,5.0,4.0,0.02050052
3,ai,2000,1,35.00035,34.999998707324266,10,0.0,10.0,0.0,4,4,4.0,4.0,0.017500175
4,ai,2000,1,34.999886,34.999998707324266,10,0.0,10.0,0.0,4,4,4.0,4.0,0.017499942
