episode,steps,num_agents,net_total_reward,mean_agent_reward,total_wall_collisions,total_agent_collisions,mean_wall_collisions_per_agent,mean_agent_collisions_per_agent,total_food_touched,total_food_deposited,mean_food_touched_per_agent,mean_food_deposited_per_agent,efficiency_score,map_type,map_size
0,2000,3,42.000725,13.999999315167466,23,3.0,7.666666666666667,2.0,9,7,3.0,2.3333333333333335,0.007000121,fixed,800x600
1,2000,3,49.49993,16.499999248112243,30,1.0,10.0,0.6666666666666666,9,8,3.0,2.6666666666666665,0.008249989,fixed,800x600
2,2000,3,54.0002,17.999999166776735,48,3.5,16.0,2.3333333333333335,10,8,3.3333333333333335,2.6666666666666665,0.009000033,fixed,800x600
3,2000,3,72.50168,24.166665667047102,24,1.0,8.0,0.6666666666666666,11,9,3.6666666666666665,3.0,0.012083613,fixed,800x600
4,2000,3,41.500153,13.83333265160521,24,3.0,8.0,2.0,9,7,3.0,2.3333333333333335,0.006916692,fixed,800x600
0,2000,5,110.49826,22.099999085068703,42,7.0,8.4,2.8,17,15,3.4,3.0,0.011049826,fixed,800x600
1,2000,5,62.000572,12.39999937787652,31,5.0,6.2,2.0,14,11,2.8,2.2,0.006200057,fixed,800x600
2,2000,5,89.99825,17.99999920204282,35,5.0,7.0,2.0,16,13,3.2,2.6,0.008999825,fixed,800x600
3,2000,5,51.00132,10.199999455362558,38,10.0,7.6,4.0,13,11,2.6,2.2,0.005100132,fixed,800x600
4,2000,5,121.99913,24.399998921900988,94,10.5,18.8,4.2,21,17,4.2,3.4,0.012199913,fixed,800x600
0,2000,10,39.002434,3.899999651871622,79,62.5,7.9,12.5,23,19,2.3,1.9,0.0019501217,fixed,800x600
1,2000,10,56.502003,5.649999587982893,72,44.0,7.2,8.8,24,18,2.4,1.8,0.0028251002,fixed,800x600
2,2000,10,13.99967,1.3999997161328792,73,38.5,7.3,7.7,21,16,2.1,1.6,0.0006999835,fixed,800x600
3,2000,10,22.00209,2.1999996969476343,77,38.5,7.7,7.7,21,17,2.1,1.7,0.0011001045,fixed,800x600
4,2000,10,-1.999569,-0.20000023059546948,90,34.0,9.0,6.8,20,16,2.0,1.6,-9.997845e-05,fixed,800x600
0,2000,15,-90.00099,-6.000000034396847,110,98.0,7.333333333333333,13.066666666666666,25,18,1.6666666666666667,1.2,-0.003000033,fixed,800x600
1,2000,15,-113.50204,-7.566666649157802,128,119.0,8.533333333333333,15.866666666666667,24,19,1.6,1.2666666666666666,-0.0037834013,fixed,800x600
2,2000,15,-80.00127,-5.3333333857357506,102,88.0,6.8,11.733333333333333,25,19,1.6666666666666667,1.2666666666666666,-0.0026667088,fixed,800x600
3,2000,15,-71.50074,-4.7666667381922405,123,98.5,8.2,13.133333333333333,26,21,1.7333333333333334,1.4,-0.002383358,fixed,800x600
4,2000,15,-107.50137,-7.166666665300727,127,106.0,8.466666666666667,14.133333333333333,24,18,1.6,1.2,-0.003583379,fixed,800x600
