#{"t_start": 1764201084.5089068, "env_id": "None"}
r,l,t
15.249498,2500,16.117598
17.749615,2500,16.117699
18.999537,2500,16.117717
-5.000243,2500,16.117728
12.499561,2500,16.117737
11.499598,2500,31.173104
32.99996,2500,31.173222
-14.750347,2500,31.173242
-1.5001787,2500,31.173256
11.749537,2500,31.173269
-4.750192,2500,45.556288
33.249977,2500,45.556372
1.2496712,2500,45.556389
2.499814,2500,45.5564
13.249466,2500,45.55641
16.999557,2500,59.395404
-2.5003815,2500,59.395492
11.999628,2500,59.395508
-5.5003033,2500,59.395519
44.5021,2500,59.395529
2.2497535,2500,81.620217
32.749798,2500,81.620318
-13.250492,2500,81.620339
-0.5000969,2500,81.620355
16.749504,2500,81.62037
20.749557,2500,96.01193
4.249645,2500,96.012023
-17.250507,2500,96.012045
-12.000497,2500,96.012083
31.749537,2500,96.012098
-18.25042,2500,110.246695
13.249582,2500,110.246796
-27.0005,2500,110.24682
15.749691,2500,110.246838
25.249472,2500,110.246856
-1.2501785,2500,124.67788
3.2494688,2500,124.677977
16.499722,2500,124.677998
11.999723,2500,124.678013
-1.5002507,2500,124.678027
-2.2503514,2500,139.749938
-0.25027475,2500,139.750074
3.4996579,2500,139.750103
1.499798,2500,139.750122
27.49984,2500,139.750157
3.24983,2500,161.923518
17.249475,2500,161.9236
29.25032,2500,161.923617
-4.2503214,2500,161.923627
14.99959,2500,161.923658
27.249966,2500,175.992021
-1.0002939,2500,175.992103
11.499708,2500,175.992119
32.50114,2500,175.992146
13.249733,2500,175.992157
30.24959,2500,190.089216
11.999765,2500,190.089304
29.749577,2500,190.08932
12.999655,2500,190.089332
-3.0002606,2500,190.089342
2.2498357,2500,204.199478
16.749666,2500,204.199561
42.750763,2500,204.199577
26.999609,2500,204.199588
-1.2504407,2500,204.199598
2.2495594,2500,226.958668
-26.250488,2500,226.95875
12.749458,2500,226.958766
27.499523,2500,226.958777
27.24957,2500,226.958787
16.249605,2500,241.306023
26.000135,2500,241.30612
15.7495575,2500,241.306152
42.500587,2500,241.306164
10.499556,2500,241.306175
2.9999225,2500,257.098469
-17.250322,2500,257.09856
-2.0003166,2500,257.098576
11.749674,2500,257.098588
30.00086,2500,257.098598
-12.000327,2500,271.496248
10.249619,2500,271.496338
13.499435,2500,271.496355
15.249731,2500,271.496366
1.9996963,2500,271.496375
0.99963784,2500,285.860199
-3.2502832,2500,285.860281
24.749563,2500,285.860297
29.499464,2500,285.860309
16.499542,2500,285.860318
15.749548,2500,307.373142
16.999598,2500,307.375828
16.749691,2500,307.37592
14.749548,2500,307.375953
12.249598,2500,307.375976
17.99946,2500,321.524921
25.250256,2500,321.524993
-18.000334,2500,321.525009
25.249628,2500,321.52502
-12.500446,2500,321.52503
3.4997308,2500,335.782605
-5.000287,2500,335.782692
19.749527,2500,335.782709
1.4996758,2500,335.78272
30.24966,2500,335.78273
11.999525,2500,349.942107
17.499584,2500,349.942203
-3.0000796,2500,349.942219
44.500183,2500,349.94223
16.499578,2500,349.94224
30.751394,2500,372.645293
31.999548,2500,372.645379
2.9996672,2500,372.645396
